Ticker,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume
AAN,Aarons Company Inc.,NYSE,Consumer Discretionary,Durable Household Products,78.7,sml,14.540,86668
ABST,Absolute Software Corp.,NASD,Technology,Software,23.6,sml,8.630,27962
ABUS,Arbutus Biopharma Corp.,NASD,Health Care,Pharmaceuticals,83.3,sml,2.815,1713885
ACCO,Acco Brands Corp.,NYSE,Consumer Discretionary,Durable Household Products,43.5,sml,5.675,265491
ACET,"Adicet Bio, Inc.",NASD,Health Care,Biotechnology,15.4,sml,7.890,125499
ACHR,Archer Aviation Inc.,NYSE,,,48.8,sml,2.960,1325404
ACMR,"ACM Research, Inc.",NASD,Technology,Semiconductors,20.4,sml,10.405,584218
ACNB,Acnb,NASD,Financial,Banks,76.8,sml,37.775,1204
ACRE,Ares Commercial Real Estate Corp.,NYSE,Real Estate,Mortgage REITs,43.1,sml,11.355,412491
ACRV,Acrivon Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,,,19.740,27031
ADMA,"ADMA Biologics, Inc.",NASD,Health Care,Biotechnology,90.1,sml,3.600,783740
ADV,Advantage Solutions Inc.,NASD,Communication Services,Media Agencies,17.0,sml,2.245,170933
AEVA,"Aeva Technologies, Inc.",NYSE,Consumer Discretionary,Auto Parts,26.2,sml,1.795,945765
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",NYSE,,,42.9,sml,10.505,49643
AFCG,AFC Gamma Inc.,NASD,Real Estate,Specialty REITs,50.0,sml,15.540,71271
AFRI,Forafric Global Plc,NASD,Consumer Staples,Food Products,67.1,sml,11.150,226
AGEN,Agenus Inc.,NASD,Health Care,Biotechnology,25.9,sml,2.070,3395580
AGX,"Argan, Inc.",NYSE,Industrial,Heavy Construction,77.6,sml,38.970,32844
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund,NYSE,,,64.6,sml,17.080,120759
AIRS,Airsculpt Technologies Inc.,NASD,Health Care,Health Care Providers,45.5,sml,6.505,370227
AKYA,Akoya Biosciences Inc.,NASD,Health Care,Biotechnology,54.7,sml,11.500,59853
ALCC,AltC Acquisition Corp.,NYSE,,,69.6,sml,10.090,1602
ALDX,"Aldeyra Therapeutics, Inc.",NASD,Health Care,Biotechnology,77.7,sml,6.804,480701
