Ticker,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume
ALEC,Alector Inc.,NASD,Health Care,Biotechnology,31.4,sml,8.511,180544
ALL/PB,Allstate Corp.,NYSE,Financial,Property-Casualty Insurance,71.8,sml,25.410,9040
ALLK,Allakos Inc.,NASD,Health Care,Biotechnology,47.6,sml,5.920,335573
ALPN,"Alpine Immune Sciences, Inc.",NASD,Health Care,Biotechnology,70.2,sml,7.920,11158
ALRS,Alerus Financial Corp.,NASD,Financial,Banks,36.7,sml,19.980,14489
ALT,"Altimmune, Inc.",NASD,Health Care,Biotechnology,35.7,sml,12.530,515039
ALTG,Alta Equipment Group Inc,NYSE,Industrial,Industrial Machinery,96.8,sml,19.095,169505
ALVR,AlloVir Inc.,NASD,Health Care,Biotechnology,57.6,sml,6.760,123881
AMAL,Amalgamated Bank,NASD,Financial,Banks,76.0,sml,23.750,59535
AMBC,"Ambac Financial Group, Inc.",NASD,Financial,Property-Casualty Insurance,78.8,sml,16.455,181056
AMLI,American Lithium Corp.,NASD,,,,,2.810,227811
AMNB,"American National Bankshares, Inc.",NASD,Financial,Banks,56.4,sml,33.880,5657
AMOT,Allied Motion Technologies Inc.,NASD,Technology,Electronic Equipment,92.2,sml,43.860,26804
AMOV,"America Movil, S.A.B. de C.V.",NYSE,Communication Services,Mobile Telecommunications,78.4,sml,20.250,1481
AMPX,Amprius Technologies Inc.,NYSE,Industrial,Industrial Suppliers,,,6.350,22819
AMPY,Amplify Energy Corp.,NYSE,Energy,Exploration & Production,75.6,sml,8.440,166096
AMRK,"A-Mark Precious Metals, Inc.",NASD,Materials,Gold Mining,31.4,sml,29.430,102228
AMRS,Amyris Inc.,NASD,Materials,Specialty Chemicals,7.5,sml,1.225,5264646
AMRX,"Amneal Pharmaceuticals, Inc.",NYSE,Health Care,Pharmaceuticals,29.2,sml,2.055,595726
AMSWA,"American Software, Inc.",NASD,Technology,Software,32.1,sml,13.740,114692
AMWL,American Well Corporation,NYSE,Health Care,Health Care Providers,13.7,sml,2.810,963408
ANAB,"AnaptysBio, Inc.",NASD,Health Care,Biotechnology,58.4,sml,24.760,148257
ANGO,AngioDynamics Inc.,NASD,Health Care,Medical Supplies,20.3,sml,12.450,138006
ANIK,"Anika Therapeutics, Inc.",NASD,Health Care,Medical Supplies,89.2,sml,31.700,18743
ANIP,"ANI Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,79.2,sml,42.030,21023
AORT,"Artivion, Inc.",NYSE,Health Care,Medical Equipment,30.3,sml,13.385,72104
AOSL,Alpha and Omega Semiconductor Ltd.,NASD,Technology,Semiconductors,21.6,sml,26.800,140039
APEN,"Apollo Endosurgery, Inc.",NASD,Health Care,Biotechnology,95.9,sml,9.935,304730
ARBE,Arbe Robotics Ltd.,NASD,,,95.0,sml,6.780,1625741
ARCE,Arco Platform Ltd.,NASD,Technology,Software,45.8,sml,12.730,26086
ARCT,Arcturus Therapeutics Ltd.,NASD,Health Care,Pharmaceuticals,39.5,sml,16.230,150428
ARDX,"Ardelyx, Inc.",NASD,Health Care,Biotechnology,99.3,sml,2.915,2542312
ARIS,Aris Water Solutions Inc.,NYSE,Energy,Oil Equipment & Services,39.1,sml,14.290,107148
ARL,American Realty Investors Inc.,NYSE,Real Estate,Real Estate Development,93.1,sml,24.060,10192
ARLO,"Arlo Technologies, Inc.",NYSE,Technology,Software,23.3,sml,3.825,250528
AROW,Arrow Financial Corp.,NASD,Financial,Banks,45.4,sml,30.610,23733
ARR,Armour Residential REIT Inc.,NYSE,Real Estate,Mortgage REITs,34.2,sml,5.430,3856547
ARTNA,Artesian Resources Corp.,NASD,Utilities,Water,62.5,sml,56.100,51021
ASC,Ardmore Shipping Corp.,NYSE,Industrial,Marine Transportation,98.4,sml,18.280,663145
ASPN,"Aspen Aerogels, Inc.",NYSE,Industrial,Building Materials,33.3,sml,10.850,302149
ASTS,"AST SpaceMobile, Inc.",NASD,Communication Services,Mobile Telecommunications,42.0,sml,6.640,1431064
ATCX,"Atlas Technical Consultants, Inc.",NASD,Industrial,Diversified Industrials,98.4,sml,12.235,232448
ATEX,Anterix Inc.,NASD,Technology,Telecom Equipment,25.4,sml,30.725,148215
ATLC,Atlanticus Holdings Corp.,NASD,Financial,Consumer Finance,60.4,sml,32.550,6168
ATNI,"ATN International, Inc.",NASD,Communication Services,Mobile Telecommunications,37.3,sml,41.990,23829
ATNX,"Athenex, Inc.",NASD,Health Care,Pharmaceuticals,3.9,sml,2.690,32355
ATRA,"Atara Biotherapeutics, Inc.",NASD,Health Care,Biotechnology,34.4,sml,4.065,248016
ATRO,Astronics Corp.,NASD,Industrial,Aerospace,95.8,sml,15.340,182867
AUDC,AudioCodes Ltd.,NASD,Technology,Telecom Equipment,25.0,sml,16.210,90025
AURC,Aurora Acquisition Corp.,NASD,,,71.0,sml,10.240,11592
AVD,American Vanguard Corp.,NYSE,Materials,Specialty Chemicals,57.2,sml,20.980,76951
AVDL,Avadel Pharmaceuticals plc,NASD,Health Care,Pharmaceuticals,96.6,sml,9.790,307817
AVK,Advent Claymore Convertible Securities and Income Fund,NYSE,,,57.9,sml,12.220,124356
AVNW,Aviat Networks Inc.,NASD,Technology,Telecom Equipment,84.2,sml,35.520,35578
AVTE,Aerovate Therapeutics Inc.,NASD,Health Care,Biotechnology,84.7,sml,24.510,13436
AVXL,Anavex Life Sciences Corp.,NASD,Health Care,Pharmaceuticals,41.6,sml,9.565,379399
AWP,Aberdeen Global Premier Properties Fund,NYSE,,,43.7,sml,4.190,296491
AXGN,"Axogen, Inc.",NASD,Health Care,Medical Supplies,33.1,sml,8.280,79923
AZUL,Azul S.A. American Depositary Shares,NYSE,Industrial,Airlines,6.1,sml,4.110,3454614
BAND,"Bandwidth, Inc.",NASD,Communication Services,Mobile Telecommunications,21.5,sml,15.940,502378
BASE,Couchbase Inc.,NASD,Technology,Software,69.6,sml,16.090,35918
BBAI,"BigBear.ai Holdings, Inc.",NYSE,,,92.3,sml,2.980,1453052
BBCP,"Concrete Pumping Holdings, Inc.",NASD,Industrial,Building Materials,82.2,sml,7.810,50428
BBSI,"Barrett Business Services, Inc.",NASD,Consumer Discretionary,Business Training Agencies,82.6,sml,97.130,37776
BBW,Build-A-Bear Workshop Inc,NYSE,Consumer Discretionary,Specialty Retailers,78.3,sml,21.220,140251
BCYC,Bicycle Therapeutics plc,NASD,Health Care,Biotechnology,31.6,sml,23.060,301301
BELFA,"Bel Fuse, Inc.",NASD,Technology,Electrical Components,84.4,sml,37.140,2037
BELFB,"Bel Fuse, Inc.",NASD,Technology,Electrical Components,87.9,sml,35.310,40789
BFC,Bank First Corp.,NASD,Financial,Banks,58.7,sml,80.380,10385
BFK,BlackRock Municipal Income Trust,NYSE,,,42.5,sml,9.900,225928
BFLY,"Butterfly Network, Inc.",NYSE,Health Care,Medical Equipment,14.1,sml,2.460,2082764
BFST,"Business First Bancshares, Inc.",NASD,Financial,Banks,46.6,sml,20.850,41655
BFZ,BlackRock California Municipal Income Trust,NYSE,,,63.3,sml,11.200,108156
BGB,Blackstone / GSO Strategic Credit Fund,NYSE,,,64.5,sml,11.115,146958
BGR,BlackRock Energy and Resources Trust,NYSE,,,70.5,sml,12.510,48339
BGRY,"Berkshire Grey, Inc.",NASD,Industrial,Industrial Machinery,32.4,sml,1.335,737718
BGY,BlackRock International Growth and Income Trust,NYSE,,,77.2,sml,5.355,178362
BH,Biglari Holdings Inc.,NYSE,Consumer Discretionary,Restaurants & Bars,92.5,sml,180.315,2093
BHB,"Bar Harbor Bankshares, Inc.",AMEX,Financial,Banks,73.5,sml,30.260,29522
BHG,Bright Health Group Inc.,NYSE,,,18.8,sml,0.891,1021920
BHIL,Benson Hill Inc.,NYSE,Consumer Staples,Food Products,19.8,sml,2.255,180015
BHK,BlackRock Core Bond Trust,NYSE,,,56.6,sml,10.936,136915
BHR,Braemar Hotels & Resorts Inc.,NYSE,Real Estate,Hotel & Lodging REITs,45.1,sml,4.740,497734
BIG,"Big Lots, Inc.",NYSE,Consumer Discretionary,Broadline Retailers,20.2,sml,14.395,981662
BIGC,BigCommerce Holdings Inc.,NASD,Technology,Software,13.9,sml,9.475,523963
BIOR,"Biora Therapeutics, Inc.",NASD,Health Care,Biotechnology,2.3,sml,2.980,98487
BIOX,Bioceres Crop Solutions Corp.,AMEX,Materials,Commodity Chemicals,35.6,sml,11.540,36943
BIRD,Allbirds Inc.,NASD,Consumer Discretionary,Footwear,23.2,sml,2.828,557542
BIT,Blackrock Multi-Sector Income Trust,NYSE,,,65.8,sml,15.080,90775
BJRI,BJ's Restaurants Inc.,NASD,Consumer Discretionary,Restaurants & Bars,83.0,sml,32.140,229970
BKD,"Brookdale Senior Living, Inc.",NYSE,Health Care,Health Care Providers,35.1,sml,3.225,1261855
BLBD,Blue Bird Corp.,NASD,Industrial,Commercial Vehicles,98.0,sml,20.410,80521
BLDE,Blade Air Mobility Inc.,NASD,Industrial,Aerospace,47.1,sml,4.656,187165
BLE,BlackRock Muni Income Fund,NYSE,,,48.5,sml,10.475,29093
BLFY,Blue Foundry Bancorp,NASD,Financial,Banks,74.9,sml,12.380,33836
BLND,Blend Labs Inc.,NYSE,Technology,Software,12.7,sml,1.550,702596
BLNK,Blink Charging Co.,NASD,Consumer Discretionary,Special Consumer Services,8.4,sml,9.030,1716444
BLTE,Belite Bio Inc.,NASD,Health Care,Pharmaceuticals,,,32.480,2171
BLUE,Bluebird Bio Inc.,NASD,Health Care,Biotechnology,28.4,sml,5.240,1254765
BLW,Blackrock Limited Duration Income Trust,NYSE,,,68.4,sml,13.440,78438
BLX,"Banco Latinoamericano de Comercio Exterior, SA",NYSE,Financial,Banks,91.4,sml,18.460,243624
BME,BlackRock Health Sciences Trust,NYSE,,,65.8,sml,42.500,30608
BMEA,Biomea Fusion Inc.,NASD,Health Care,Biotechnology,93.7,sml,12.780,126057
BML/PL,Bank of America Corp.,NYSE,Financial,Banks,70.4,sml,20.720,41012
BMRC,Bank of Marin,NASD,Financial,Banks,42.4,sml,29.220,39694
BNGO,"Bionano Genomics, Inc.",NASD,Health Care,Biotechnology,13.5,sml,1.345,4455104
BOC,Boston Omaha Corp.,NYSE,Communication Services,Media Agencies,37.9,sml,24.080,74798
BOE,BlackRock Global Opportunities Equity Trust,NYSE,,,69.7,sml,10.050,108925
BOOM,DMC Global Inc.,NASD,Industrial,Industrial Machinery,88.9,sml,26.810,242102
BRCC,BRC Inc.,NYSE,Consumer Staples,Food Products,26.9,sml,6.650,299264
BRDG,Bridge Investment Group Holdings Inc.,NYSE,,,37.1,sml,13.660,60620
BRMK,Broadmark Realty Capital Inc.,NYSE,Real Estate,Mortgage REITs,67.8,sml,5.115,5643322
BROG,Twelve Seas Investment Co.,NASD,,,25.9,sml,5.650,251
BRT,BRT Apartments Corp.,NYSE,Real Estate,Mortgage REITs,60.1,sml,21.450,11758
BRW,Saba Capital Income & Opportunities Fund,NYSE,,,71.5,sml,8.150,49090
BRY,Berry Petroleum Corp.,NASD,Energy,Integrated Oil & Gas,79.2,sml,9.490,387580
BSRR,Bank of the Sierra,NASD,Financial,Banks,47.3,sml,20.280,17823
BTO,John Hancock Bank and Thrift Opportunity Fund,NYSE,,,58.6,sml,35.440,72223
BTWN,Bridgetown Holdings Ltd.,NASD,,,64.8,sml,10.035,6594
BTWNU,Bridgetown Holdings Ltd.,NASD,,,68.0,sml,10.150,100
BUI,Blackrock Utility and Infrastructure Trust,NYSE,,,66.3,sml,22.482,33351
BV,"BrightView Holdings, Inc.",NYSE,Industrial,Business Support Services,18.0,sml,6.370,101844
BVH,Bluegreen Vacations Holding Corporation,NYSE,Financial,Banks,95.7,sml,33.850,42002
BW,"Babcock & Wilcox Enterprises, Inc.",NYSE,Financial,Financial Administration,45.5,sml,6.480,151724
BWB,"Bridgewater Bancshares, Inc.",NASD,Financial,Banks,35.8,sml,14.810,32870
BWMN,Bowman Consulting Group Ltd.,NASD,Industrial,Business Support Services,97.1,sml,27.650,27504
BWMX,Betterware de Mexico S.A.P.I. de C.V,NASD,Consumer Discretionary,Durable Household Products,89.7,sml,10.160,71027
BXC,Bluelinx Holdings Inc.,NYSE,Industrial,Building Materials,81.7,sml,84.465,61406
BZH,"Beazer Homes USA, Inc.",NYSE,Consumer Discretionary,Home Construction,67.2,sml,14.960,74677
CAC,Camden National Corp.,NASD,Financial,Banks,49.3,sml,41.440,23637
CAF,Morgan Stanley A Share Fund,NYSE,,,45.0,sml,14.510,12122
CALT,Calliditas Therapeutics AB,NASD,Health Care,Pharmaceuticals,83.4,sml,19.080,2628
CAN,Canaan Inc,NASD,Technology,Semiconductors,32.0,sml,2.820,1370220
CANO,"Cano Health, Inc.",NYSE,Health Care,Health Care Providers,10.4,sml,1.659,14811558
CARA,Cara Therapeutics Inc.,NASD,Health Care,Biotechnology,42.5,sml,10.190,142787
CARE,Carter Bank & Trust,NASD,Financial,Banks,76.5,sml,17.490,17094
CASA,"Casa Systems, Inc.",NASD,Technology,Telecom Equipment,69.1,sml,3.670,54909
CASS,Cass Commercial Corp.,NASD,Financial,Financial Administration,88.7,sml,48.900,33388
CATC,Cambridge Bancorp,NASD,Financial,Banks,53.9,sml,79.780,43555
CBAY,CymaBay Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,98.6,sml,7.938,507855
CCAP,Crescent Capital BDC Inc.,NASD,,,76.3,sml,15.835,65738
CCB,Coastal Financial Corp.,NASD,Financial,Banks,79.4,sml,46.150,29053
CCBG,Capital City Bank Group,NASD,Financial,Banks,85.3,sml,35.820,58993
CCD,Calamos Dynamic Convertible & Income Fund,NASD,,,63.0,sml,22.480,46552
CCNE,CNB Financial Corp.,NASD,Financial,Banks,53.2,sml,23.975,31542
CCRD,CoreCard Corporation,NYSE,Technology,Software,90.0,sml,33.700,72391
CDRE,Cadre Holdings Inc.,NYSE,Industrial,Defense,34.7,sml,21.260,24660
CDXS,Codexis Inc.,NASD,Materials,Specialty Chemicals,15.3,sml,4.820,519634
CECO,CECO Environmental Corp.,NASD,Industrial,Industrial Machinery,96.1,sml,15.580,520443
CEM,Clearbridge Energy MLP Fund Inc.,NYSE,,,62.8,sml,34.330,28510
CERS,Cerus Corp.,NASD,Health Care,Biotechnology,22.9,sml,2.885,667303
CEVA,Ceva Inc.,NASD,Technology,Semiconductors,66.9,sml,31.869,19620
CFB,Crossfirst Bankshares Inc.,NASD,Financial,Banks,77.1,sml,14.220,136286
CFMS,"Conformis, Inc.",NASD,Health Care,Medical Equipment,3.2,sml,1.729,7786
CGBD,Carlyle Secured Lending Inc.,NASD,Financial,Asset Managers,79.6,sml,15.153,450114
CGEM,Cullinan Management Inc.,NASD,Health Care,Pharmaceuticals,42.8,sml,11.340,124245
CHEK,Check-Cap Ltd.,NASD,Health Care,Medical Equipment,15.1,sml,3.320,14431
CHRS,Coherus BioSciences Inc.,NASD,Health Care,Biotechnology,17.6,sml,6.760,569759
CHS,"Chicos FAS, Inc.",NYSE,Consumer Discretionary,Apparel Retailers,78.9,sml,5.870,4688824
CHSCL,CHS Inc.,NASD,Consumer Staples,Food Products,66.7,sml,26.110,7780
CHSCM,CHS Inc.,NASD,Consumer Staples,Food Products,74.5,sml,25.780,9014
CHSCN,CHS Inc.,NASD,Consumer Staples,Food Products,71.6,sml,25.800,16970
CHSCO,CHS Inc.,NASD,Consumer Staples,Food Products,58.6,sml,26.070,29099
CHSCP,CHS Inc.,NASD,Consumer Staples,Food Products,71.3,sml,29.640,6169
CHUY,Chuy's Holdings Inc.,NASD,Consumer Discretionary,Restaurants & Bars,94.2,sml,36.000,71031
CHW,Calamos Global Dynamic Income Fund,NASD,,,42.3,sml,6.050,108140
CIFR,Cipher Mining Inc.,NASD,Financial,Asset Managers,46.6,sml,1.530,565845
CII,"BlackRock Enhanced Capital and Income Fund, Inc.",NYSE,,,67.8,sml,18.010,65579
CINT,CI&T Inc.,NYSE,Technology,Computer Services,13.1,sml,5.420,27882
CIO,"City Office REIT, Inc.",NYSE,Real Estate,Industrial & Office REITs,26.0,sml,8.520,184102
CION,CION Investment Corporation,NYSE,Financial,Asset Managers,79.9,sml,10.915,82728
CIR,"Circor Intl, Inc.",NYSE,Industrial,Industrial Machinery,96.4,sml,29.440,33245
CIVB,"Civista Bancshares, Inc.",NASD,Financial,Banks,57.7,sml,21.390,17359
CKPT,"Checkpoint Therapeutics, Inc.",NASD,Health Care,Pharmaceuticals,9.3,sml,4.712,67530
CLAR,Clarus Corp.,NASD,Consumer Discretionary,Recreational Products,21.8,sml,9.945,884792
CLDT,Chatham Lodging Trust,NYSE,Real Estate,Hotel & Lodging REITs,42.7,sml,12.170,236237
CLOV,Clover Health Investments Corp.,NASD,Health Care,Health Care Providers,23.1,sml,1.346,17519128
CLW,Clearwater Paper Corp.,NYSE,Materials,Paper,57.0,sml,38.560,64437
CMAX,CareMax Inc.,NASD,Health Care,Health Care Providers,26.5,sml,4.345,1256148
CMBM,Cambium Networks Corp.,NASD,Technology,Electronic Equipment,55.7,sml,20.270,48666
CMPS,Compass Pathways Plc,NASD,Health Care,Pharmaceuticals,13.5,sml,8.230,150124
CMPX,Compass Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,84.5,sml,3.870,214218
CMTL,Comtech Telecommunications Corp.,NASD,Technology,Telecom Equipment,92.4,sml,16.135,61903
CNCE,"Concert Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,92.2,sml,8.390,883811
CNSL,Consolidated Communications Holdings Inc.,NASD,Communication Services,Fixed Telecommunications,9.6,sml,3.045,1894401
CNTA,Centessa Pharmaceuticals Plc,NASD,Health Care,Pharmaceuticals,30.3,sml,3.500,322847
COMS,ComSovereign Holding Corp.,NASD,Technology,Software,1.8,sml,3.510,257986
COOK,Traeger Inc.,NYSE,Consumer Discretionary,Durable Household Products,83.6,sml,3.940,328256
COOL,Corner Growth Acquisition Corp.,NASD,,,64.6,sml,10.060,224
CPAC,Cementos Pacasmayo S.A.A.,NYSE,Industrial,Building Materials,67.6,sml,5.100,701
CPF,"CPB, Inc.",NYSE,Financial,Banks,72.5,sml,22.605,68025
CPSI,Computer Programs and Systems Inc.,NASD,Technology,Software,63.7,sml,30.270,39895
CRBP,Corbus Pharmaceuticals Holdings Inc.,NASD,Health Care,Biotechnology,7.2,sml,2.980,41880
CRBU,Caribou Biosciences Inc.,NASD,Health Care,Biotechnology,17.3,sml,6.095,171502
CRESY,Cresud S.A.C.I.F. y A.,NASD,Consumer Staples,Food Products,90.4,sml,7.670,137807
CRF,Cornerstone Total Return Fund Inc.,AMEX,,,43.9,sml,7.645,598311
CRGY,Crescent Energy Company,NYSE,Energy,Integrated Oil & Gas,32.9,sml,11.890,134535
CRMT,"America's Car-Mart, Inc.",NASD,Consumer Discretionary,Specialty Retailers,68.7,sml,84.670,66950
CSTL,Castle Biosciences Inc.,NASD,Health Care,Biotechnology,40.5,sml,25.230,85730
CSTR,"CapStar Financial Holdings, Inc.",NASD,Financial,Banks,44.9,sml,17.470,15380
CSV,"Carriage Services, Inc.",NYSE,Consumer Discretionary,Special Consumer Services,65.1,sml,33.920,65412
CSWC,Capital Southwest Corp.,NASD,Financial,Asset Managers,59.1,sml,18.805,192340
CTBB,Qwest Corp. 6.5% Notes due 2056,NYSE,,,34.1,sml,18.660,51660
CTBI,"Community Trust Bancorp, Inc.",NASD,Financial,Banks,60.3,sml,42.850,19641
CTDD,Qwest Corp. 6.75% Notes due 2057,NYSE,,,38.2,sml,19.310,86491
CTIC,CTI BioPharma Corp.,NASD,Health Care,Biotechnology,52.2,sml,5.445,1368397
CTO,"CTO Realty Growth, Inc.",NYSE,Real Estate,Real Estate Development,35.9,sml,17.650,149493
CUTR,Cutera Inc.,NASD,Health Care,Medical Equipment,25.1,sml,32.755,244937
CVCY,Central Valley Community Bancorp,NASD,Financial,Banks,92.9,sml,25.530,8830
CVEO,Civeo Corp.,NYSE,Consumer Discretionary,Hotels,39.5,sml,28.345,91837
CVGW,"Calavo Growers, Inc.",NASD,Consumer Staples,Food Products,36.3,sml,32.400,36105
CVLG,"Covenant Logistics Group, Inc",NASD,Industrial,Trucking,83.8,sml,34.935,31477
CYD,China Yuchai Intl Ltd.,NYSE,Industrial,Commercial Vehicles,40.5,sml,8.210,21409
CYXT,"Cyxtera Technologies, Inc.",NASD,Technology,Computer Services,7.2,sml,2.285,211180
CZFS,Citizens Financial Services,NASD,Financial,Banks,79.9,sml,84.390,3582
CZNC,Citizens & Northern Corp.,NASD,Financial,Banks,48.3,sml,22.420,3626
DAO,Youdao Inc,NYSE,Technology,Software,94.1,sml,8.130,76365
DBI,Designer Brands Inc.,NYSE,Consumer Discretionary,Apparel Retailers,22.2,sml,9.790,710558
DCO,"Ducommun, Inc.",NYSE,Industrial,Aerospace,81.0,sml,54.110,27519
DDI,DoubleDown Interactive Co Ltd.,NASD,Communication Services,Internet,48.8,sml,9.535,570
DDL,Dingdong Ltd.,NYSE,Consumer Staples,Food Retailers,28.0,sml,4.440,598966
DENN,Denny's Corp.,NASD,Consumer Discretionary,Restaurants & Bars,77.5,sml,11.765,389336
DESP,"Despegar.com, Corp.",NYSE,Technology,Computer Services,33.6,sml,6.160,100021
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,NYSE,,,51.1,sml,20.000,39126
DGICA,"Donegal Group, Inc.",NASD,Financial,Property-Casualty Insurance,77.4,sml,15.480,36435
DGNU,Dragoneer Growth Opportunities Corp.,NASD,,,62.9,sml,9.890,1330
DHIL,"Diamond Hill Investment Group, Inc.",NASD,Financial,Investment Services,57.4,sml,175.450,4543
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,NYSE,,,55.3,sml,15.144,77761
DJCO,Daily Journal Corp. (S.C.),NASD,Communication Services,Publishing,82.8,sml,308.809,1851
DLX,Deluxe Corp.,NYSE,Financial,Financial Administration,44.9,sml,18.540,93476
DM,Desktop Metal Inc.,NYSE,Technology,Computer Hardware,12.6,sml,1.540,2326231
DMRC,Digimarc Corp.,NASD,Technology,Software,78.6,sml,20.720,20124
DNAB,Social Capital Suvretta Holdings Corp.,NASD,,,69.4,sml,10.160,8509
DNAD,Social Capital Suvretta Holdings Corp.,NASD,,,71.9,sml,10.190,3785
DOMO,"Domo, Inc.",NASD,Technology,Software,27.1,sml,15.400,230767
DOUG,Douglas Elliman Inc.,NYSE,Real Estate,Real Estate Services,30.4,sml,4.200,241466
DOYU,DouYu International Holdings Ltd.,NASD,Communication Services,Entertainment,25.2,sml,1.240,972790
DPG,Duff & Phelps Global Utility Income Fund Inc.,NYSE,,,58.8,sml,13.731,54308
DRD,DRDGOLD Ltd.,NYSE,Materials,Gold Mining,84.1,sml,7.310,89857
DRS,"Leonardo DRS, Inc.",NASD,Industrial,Defense,84.8,sml,12.980,251604
DSGN,Design Therapeutics Inc.,NASD,Health Care,Biotechnology,8.8,sml,7.000,101528
DSKE,"Daseke, Inc.",NASD,Industrial,Trucking,90.0,sml,8.080,194804
DSU,Blackrock Debt Strategies Fund Inc.,NYSE,,,74.4,sml,9.860,153450
DSX,Diana Shipping Inc.,NYSE,Industrial,Marine Transportation,80.6,sml,4.645,720521
DTC,Solo Brands Inc.,NYSE,Consumer Discretionary,Recreational Products,36.5,sml,4.170,61429
DWAC,Digital World Acquisition Corp.,NASD,,,16.1,sml,14.800,106180
DX,"Dynex Capital, Inc.",NYSE,Real Estate,Mortgage REITs,42.1,sml,13.215,554996
DXLG,"Destination XL Group, Inc.",NASD,Consumer Discretionary,Apparel Retailers,52.9,sml,6.010,190801
DXPE,"DXP Enterprises, Inc.",NASD,Industrial,Industrial Suppliers,69.5,sml,29.135,25970
DYN,Dyne Therapeutics Inc.,NASD,,,81.9,sml,12.910,202976
DZSI,DASAN Zhone,NASD,Technology,Telecom Equipment,26.9,sml,10.670,114349
EAD,"Wells Fargo Advantage Income Fund, Inc.",AMEX,,,63.4,sml,6.665,55965
EAI,"Entergy Arkansas, Inc. First Mortgage Bonds",NYSE,,,56.5,sml,22.190,17691
EBF,"Ennis Business Forms, Inc.",NYSE,Industrial,Business Support Services,72.0,sml,21.630,61283
EBIX,"ebix.com, Inc.",NASD,Technology,Software,28.2,sml,17.505,163562
EBS,Emergent BioSolutions Inc.,NYSE,Health Care,Biotechnology,13.2,sml,12.370,2020156
EBTC,Enterprise Bancorp Inc.,NASD,Financial,Banks,76.1,sml,35.630,10456
ECC,"Eagle Point Credit Co., Inc.",NYSE,Financial,Asset Managers,82.5,sml,11.260,260192
EDAP,Edap Tms S.A.,NASD,Health Care,Medical Equipment,93.3,sml,12.040,42602
EDIT,"Editas Medicine, Inc.",NASD,Health Care,Biotechnology,20.2,sml,9.110,695822
EFR,Eaton Vance Senior Floating Rate Trust,NYSE,,,73.7,sml,11.950,63753
EFT,Eaton Vance Floating Rate Income Trust,NYSE,,,73.8,sml,12.010,57034
EGHT,"8x8, Inc.",NASD,Communication Services,Fixed Telecommunications,66.2,sml,5.345,662830
EGRX,"Eagle Pharmaceuticals, Inc.",NASD,Health Care,Pharmaceuticals,27.5,sml,28.390,53161
EGY,Vaalco Energy Inc.,NYSE,Energy,Exploration & Production,46.3,sml,4.650,827018
EH,EHang Holdings Ltd,NASD,Industrial,Aerospace,94.9,sml,11.630,806322
EHAB,Enhabit Inc.,NYSE,Health Care,Health Care Providers,,,15.350,302920
EIM,Eaton Vance Municipal Bond Fund,AMEX,,,48.0,sml,9.960,88122
