No.,Ticker,Market Cap,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Price,Change,Volume
1,A,48237.10,0.57%,12.00%,24.30%,16.90%,2.00,1.50,0.52,0.52,54.40%,23.60%,18.30%,11/21/2022 4:30:00 PM,156.49,-1.06%,809120
2,AA,9019.56,0.77%,-0.80%,-2.40%,5.00%,1.80,1.00,0.32,0.32,23.80%,3.80%,-0.90%,1/18/2023 4:30:00 PM,53.32,2.64%,5732070
3,AAC,1266.25,,2.70%,2.80%,,0.10,0.10,0.00,0.00,,,,,10.13,0.00%,1816495
4,AADI,300.49,,-40.20%,-46.50%,-77.90%,10.60,10.60,0.00,0.00,89.90%,,,11/9/2022 8:30:00 AM,13.00,5.78%,46663
5,AAL,9835.85,,-3.40%,28.40%,-1.60%,0.80,0.70,,,57.40%,-3.30%,-5.10%,10/20/2022 8:30:00 AM,16.83,9.71%,96171985
6,AAN,425.93,3.18%,1.00%,2.30%,15.10%,,,0.36,0.39,54.80%,1.10%,0.80%,10/24/2022 4:30:00 PM,14.31,1.06%,318133
7,AAON,3840.28,0.63%,9.20%,13.80%,11.50%,2.40,1.10,0.16,0.16,24.10%,11.10%,8.80%,11/7/2022 4:30:00 PM,76.74,1.01%,182243
8,AAP,9031.26,3.91%,3.90%,16.50%,15.60%,1.10,0.20,0.44,0.51,44.70%,6.20%,4.30%,11/15/2022 4:30:00 PM,152.19,-0.71%,997494
9,AAPL,2048213.24,0.69%,28.10%,160.90%,58.30%,0.90,0.80,1.95,2.37,43.30%,30.30%,25.30%,2/2/2023 4:30:00 PM,133.41,-0.06%,71288182
10,AAT,1603.70,4.72%,1.40%,3.40%,3.30%,,,1.34,1.34,64.40%,27.10%,10.00%,10/25/2022 4:30:00 PM,27.72,2.14%,306802
11,AAWW,2878.54,,6.40%,14.30%,10.80%,0.70,0.70,0.54,0.67,55.00%,13.40%,9.00%,11/3/2022 8:30:00 AM,101.82,0.32%,645796
12,AB,3727.41,11.47%,20.10%,21.50%,23.80%,,,0.00,0.00,,100.00%,91.30%,10/28/2022 8:30:00 AM,39.00,0.96%,231432
13,ABBV,272845.55,3.77%,9.30%,85.60%,17.90%,0.90,0.80,3.78,4.35,71.20%,30.60%,23.10%,10/28/2022 8:30:00 AM,152.22,-3.15%,7662438
14,ABC,32950.65,1.17%,3.00%,844.60%,34.50%,0.90,0.60,,,3.50%,1.00%,0.70%,2/1/2023 8:30:00 AM,164.90,-0.30%,1041414
15,ABCB,3246.73,1.24%,1.50%,11.40%,15.10%,,,0.16,0.16,,91.40%,43.40%,1/26/2023 4:30:00 PM,48.97,1.39%,247006
16,ABG,4156.15,,10.00%,33.60%,9.90%,1.60,0.90,1.23,1.27,20.20%,8.40%,5.50%,10/27/2022 8:30:00 AM,193.54,0.82%,155658
17,ABM,2973.13,1.92%,5.00%,13.70%,9.00%,1.20,1.20,0.63,0.74,13.40%,4.50%,3.00%,12/13/2022 4:30:00 PM,45.97,0.13%,327489
18,ABNB,59249.77,,9.90%,32.10%,0.00%,1.90,1.90,0.36,0.00,69.40%,20.50%,20.30%,11/1/2022 4:30:00 PM,98.49,4.29%,7689362
19,ABR,2394.03,11.36%,1.80%,14.80%,2.40%,,,6.60,6.60,59.00%,36.90%,29.70%,11/4/2022 8:30:00 AM,14.13,0.28%,1346608
20,ABT,194598.77,1.80%,10.70%,22.00%,13.50%,1.90,1.40,0.43,0.46,57.20%,21.00%,17.50%,1/25/2023 8:30:00 AM,111.36,-1.58%,4656484
21,ABUS,378.97,,-32.30%,-43.80%,,5.10,5.10,0.00,0.00,,,,11/9/2022 8:30:00 AM,2.87,6.69%,1512678
22,AC,865.29,0.50%,-4.60%,-5.90%,-3.90%,,,0.00,0.00,,-49.60%,,,39.97,-0.92%,3758
