No.,Ticker,Market Cap,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Price,Change,Volume
23,ACA,2709.77,0.35%,3.00%,5.00%,3.50%,2.20,1.40,0.34,0.35,18.80%,6.90%,4.40%,11/2/2022 4:30:00 PM,58.60,1.40%,164651
24,ACAD,2743.28,,-34.20%,-47.10%,-31.60%,4.50,4.40,0.00,0.00,98.00%,-43.40%,-42.50%,11/2/2022 4:30:00 PM,18.34,7.76%,1536355
25,ACAQ,331.38,,-0.80%,-0.80%,,0.30,0.30,0.00,0.00,,,,,10.31,-0.10%,8765
26,ACCD,642.24,,-36.30%,-59.80%,-10.60%,3.30,3.30,0.56,0.56,46.90%,,,1/9/2023 4:30:00 PM,9.29,3.22%,944967
27,ACCO,564.39,4.94%,0.70%,2.50%,7.60%,1.80,1.00,1.34,1.37,29.00%,3.10%,1.10%,11/7/2022 4:30:00 PM,6.16,1.48%,395857
28,ACDC,3689.17,,4.10%,-12.20%,-3.90%,1.50,1.10,,,39.20%,15.60%,3.10%,,24.68,1.02%,336138
29,ACEL,746.48,,9.30%,39.70%,10.80%,3.10,3.00,2.75,2.88,31.50%,9.90%,7.60%,11/8/2022 4:30:00 PM,8.88,1.60%,238982
30,ACET,325.31,,-16.30%,-18.20%,-20.20%,16.60,16.60,0.00,0.00,,,,,8.60,11.11%,1825139
31,ACHC,7385.68,,5.80%,10.80%,7.10%,1.30,1.30,0.50,0.51,,17.70%,11.20%,10/31/2022 4:30:00 PM,83.98,1.74%,541817
32,ACHR,536.73,,-37.40%,-41.80%,,14.00,14.00,0.00,0.02,,,,11/10/2022 4:30:00 PM,2.67,13.14%,2763372
33,ACI,11477.69,2.24%,5.20%,42.90%,17.80%,1.10,0.50,1.62,1.81,28.40%,3.40%,2.00%,1/10/2023 8:30:00 AM,21.46,0.23%,1954573
34,ACIW,2865.99,,5.00%,13.20%,7.00%,1.20,1.20,0.79,0.84,52.70%,15.20%,11.20%,11/2/2022 8:30:00 AM,26.97,0.63%,688552
35,ACLS,2951.96,,19.90%,28.10%,18.00%,3.70,2.60,0.07,0.08,44.40%,23.60%,18.80%,11/2/2022 4:30:00 PM,97.67,2.34%,514904
36,ACLX,1275.90,,-62.60%,-102.30%,,6.50,6.50,0.11,0.23,,,,,30.52,4.70%,353108
37,ACM,11372.25,0.86%,2.80%,12.50%,10.90%,1.10,1.10,0.87,0.89,6.40%,4.90%,2.40%,11/14/2022 8:30:00 AM,85.87,2.24%,889923
38,ACMR,609.19,,3.90%,6.50%,5.40%,2.80,1.90,0.03,0.11,46.70%,16.40%,11.50%,11/4/2022 8:30:00 AM,10.68,3.49%,822944
39,ACNB,316.24,2.93%,1.10%,11.90%,23.50%,,,0.00,0.00,,95.00%,37.20%,,38.58,0.89%,9766
40,ACQR,627.04,,3.80%,4.00%,,13.60,13.60,0.00,0.00,,,,,10.13,0.05%,4045713
41,ACQRU,630.43,,,,,,,,,,,,,10.15,0.00%,0
42,ACRE,596.02,11.93%,1.70%,6.00%,2.30%,,,2.51,2.51,55.50%,26.90%,26.80%,11/2/2022 8:30:00 AM,11.31,2.26%,1011183
43,ACRO,430.96,,-0.30%,-0.30%,,0.20,0.20,0.00,0.01,,,,,9.98,-0.03%,12
44,ACRS,1015.06,,-32.10%,-39.40%,-45.50%,13.00,13.00,0.00,0.00,50.70%,,,11/8/2022 8:30:00 AM,17.63,6.59%,232152
45,ACT,3781.82,2.35%,12.30%,17.50%,12.30%,,,0.18,0.18,,88.10%,65.40%,2/6/2023 4:30:00 PM,24.21,1.72%,59153
46,ACVA,1388.47,,-10.70%,-19.80%,-13.90%,2.30,2.30,0.14,0.14,42.90%,-24.70%,-24.50%,11/9/2022 4:30:00 PM,9.21,2.68%,767323
47,ADBE,157363.72,,18.40%,34.40%,26.00%,1.10,1.10,0.25,0.29,87.70%,34.40%,27.80%,12/15/2022 4:30:00 PM,344.54,0.47%,2120904
48,ADC,6365.09,3.91%,2.40%,3.80%,3.20%,,,0.43,0.43,88.00%,50.40%,34.50%,11/1/2022 4:30:00 PM,75.13,1.98%,611526
49,ADEA,1115.33,1.85%,-16.00%,-30.30%,-0.90%,2.50,2.40,0.76,0.79,86.30%,-34.10%,-41.90%,11/9/2022 4:30:00 PM,10.91,0.65%,505100
50,ADER,347.82,,3.20%,3.50%,,0.10,0.10,0.00,0.01,,,,,10.16,0.40%,338
51,ADEX,352.88,,0.90%,1.00%,,0.00,0.00,0.00,0.00,,,,,10.19,0.00%,0
52,ADI,83428.01,1.79%,5.40%,7.40%,6.80%,2.00,1.40,0.18,0.18,62.70%,27.30%,22.90%,11/22/2022 8:30:00 AM,168.67,-0.66%,2478121
53,ADM,46663.31,1.85%,6.80%,17.40%,6.60%,1.50,0.90,0.32,0.36,7.60%,4.20%,4.20%,10/25/2022 8:30:00 AM,87.39,0.82%,2813127
54,ADMA,732.07,,-23.80%,-58.30%,-24.70%,5.00,1.40,1.41,1.41,18.90%,-40.70%,-53.90%,11/9/2022 4:30:00 PM,3.51,3.54%,2207777
55,ADP,98889.93,2.04%,5.00%,80.50%,47.10%,1.00,1.00,1.16,1.16,43.10%,23.20%,17.90%,1/25/2023 8:30:00 AM,244.26,-0.32%,1169986
56,ADPT,1299.39,,-25.50%,-41.00%,-34.60%,5.40,5.30,0.00,0.00,66.90%,,,11/3/2022 4:30:00 PM,9.66,2.88%,1403166
57,ADSK,41959.31,,7.30%,78.00%,15.80%,0.70,0.70,2.52,2.90,90.40%,17.40%,12.60%,11/22/2022 4:30:00 PM,199.96,0.02%,1246697
58,ADT,8640.98,1.44%,-0.20%,-1.10%,0.80%,0.50,0.40,2.79,3.06,68.60%,5.90%,-0.60%,11/3/2022 8:30:00 AM,9.73,0.10%,2471362
59,ADTN,1432.39,1.87%,-5.00%,-9.40%,-4.80%,1.70,0.90,0.00,0.13,33.40%,-5.70%,-5.50%,11/7/2022 4:30:00 PM,19.85,3.12%,517806
60,ADUS,1605.80,,4.60%,7.50%,6.40%,1.90,1.90,0.27,0.00,31.90%,7.20%,4.80%,10/31/2022 4:30:00 PM,102.64,0.48%,63618
61,ADV,703.18,,1.20%,2.70%,4.30%,1.80,1.80,0.80,0.81,15.00%,4.60%,1.70%,11/9/2022 4:30:00 PM,2.31,4.52%,285494
62,ADX,1756.32,1.68%,,,,,,,,,,,,15.03,0.87%,303996
63,AEAC,303.60,,5.10%,5.50%,,0.10,0.10,0.00,0.00,,,,,10.15,0.20%,505747
64,AEE,22811.77,2.60%,2.80%,10.50%,5.00%,0.80,0.60,1.33,1.47,76.10%,19.30%,13.90%,11/3/2022 4:30:00 PM,89.75,-0.96%,1091643
65,AEHR,588.58,,15.80%,20.20%,18.40%,6.00,4.30,0.00,0.00,46.30%,17.00%,16.90%,1/5/2023 4:30:00 PM,27.67,-2.12%,1658074
66,AEIS,3255.77,0.43%,10.40%,21.20%,11.10%,2.70,1.80,0.36,0.38,36.40%,12.80%,11.20%,11/1/2022 4:30:00 PM,94.00,1.83%,162113
67,AEL,3979.91,0.78%,1.70%,27.70%,2.10%,,,0.27,0.27,,-41.40%,68.90%,11/7/2022 4:30:00 PM,46.44,0.00%,788768
68,AEO,2949.09,,3.30%,8.60%,25.60%,1.90,0.70,0.28,0.28,34.50%,5.10%,2.40%,11/22/2022 8:30:00 AM,15.88,-0.50%,4534214
69,AEP,48738.85,3.40%,2.70%,10.40%,5.60%,0.80,0.70,1.38,1.55,65.40%,19.20%,13.10%,10/27/2022 8:30:00 AM,96.41,-1.25%,2505441
70,AES,18129.87,2.39%,-0.80%,-12.30%,-1.50%,1.30,1.10,7.86,8.64,20.60%,-0.40%,-2.20%,11/4/2022 8:30:00 AM,27.69,-0.14%,6403394
71,AESC,18262.04,6.90%,,,,,,,,,,,,99.74,0.04%,20736
72,AEVA,312.87,,-31.50%,-33.20%,-22.80%,22.20,22.10,0.00,0.00,16.20%,,,11/8/2022 4:30:00 PM,1.67,9.15%,1857412
73,AFB,309.87,3.64%,,,,,,,,,,,,10.92,1.30%,66881
74,AFCG,327.54,13.73%,8.70%,12.40%,6.20%,,,0.28,0.28,78.50%,67.80%,58.50%,11/8/2022 8:30:00 AM,16.49,1.04%,71178
75,AFG,11733.38,1.79%,3.40%,21.90%,16.80%,,,0.39,0.39,,19.10%,14.20%,11/2/2022 4:30:00 PM,141.22,0.27%,252466
76,AFL,43295.58,2.34%,3.60%,17.80%,11.10%,,,0.31,0.31,,26.50%,24.20%,2/1/2023 4:30:00 PM,71.80,-0.15%,2054757
77,AFRM,3331.70,,-9.30%,-25.50%,-12.80%,,,1.65,1.65,,-81.40%,-53.80%,11/8/2022 4:30:00 PM,12.20,7.77%,21788789
78,AFTR,562.64,,5.50%,5.90%,,0.10,0.10,0.00,0.01,,,,,10.06,0.20%,215879
79,AGCO,10249.12,0.69%,8.80%,24.30%,18.10%,1.60,0.70,0.52,0.63,23.00%,8.90%,7.10%,11/1/2022 8:30:00 AM,141.11,1.53%,485370
80,AGEN,763.07,,-47.90%,,,1.50,1.50,,,95.80%,,,11/8/2022 8:30:00 AM,2.87,8.71%,5006140
81,AGGR,392.13,,2.70%,2.90%,,0.20,0.20,0.00,0.00,,,,,10.14,0.05%,2551341
82,AGIO,1562.56,,-27.90%,-31.10%,,14.60,14.50,0.00,0.00,87.00%,,,11/3/2022 8:30:00 AM,30.34,4.66%,559570
83,AGL,8119.35,,-6.00%,-9.70%,-34.60%,2.50,2.50,0.04,0.04,11.20%,-4.20%,-4.30%,11/3/2022 4:30:00 PM,19.23,0.52%,1839376
84,AGM,1237.20,3.08%,0.60%,21.30%,0.60%,,,23.01,32.90,48.80%,34.50%,27.70%,11/7/2022 4:30:00 PM,124.72,1.11%,55321
85,AGNC,6232.83,12.93%,-3.00%,-26.50%,1.30%,,,0.02,7.23,,,,10/24/2022 4:30:00 PM,11.28,1.26%,9728856
86,AGNCL,6202.09,11.74%,,,,,,,,,,,,22.94,3.38%,84574
87,AGR,16729.22,3.95%,2.30%,4.70%,3.20%,0.70,0.60,0.40,0.44,69.50%,11.10%,11.70%,10/25/2022 4:30:00 PM,44.28,-0.58%,456912
88,AGTI,2193.50,,1.50%,4.00%,3.70%,1.60,1.30,1.12,1.14,39.30%,7.20%,3.30%,11/10/2022 4:30:00 PM,15.74,1.09%,203329
89,AGX,518.74,2.58%,4.60%,7.40%,10.20%,2.70,2.70,0.00,0.00,19.20%,6.70%,4.70%,12/7/2022 4:30:00 PM,39.03,0.67%,57970
90,AGYS,2038.72,,3.90%,8.40%,6.50%,2.20,2.00,0.00,0.00,60.80%,5.00%,4.60%,10/25/2022 4:30:00 PM,80.54,0.46%,167263
91,AHCO,2728.12,,1.70%,4.10%,4.00%,1.40,1.10,1.00,1.02,17.50%,7.90%,3.00%,11/8/2022 8:30:00 AM,20.96,3.25%,1017842
92,AHH,1030.59,6.41%,2.50%,12.30%,2.80%,,,2.25,2.26,39.50%,27.50%,14.70%,11/8/2022 8:30:00 AM,12.25,3.38%,303506
93,AI,1295.20,,-20.80%,-24.20%,-19.90%,8.10,8.10,0.00,0.00,72.60%,-92.30%,-88.40%,12/7/2022 4:30:00 PM,12.05,1.26%,2270785
94,AIG,46389.89,2.02%,2.50%,26.90%,11.70%,,,1.44,1.44,,34.20%,23.30%,11/1/2022 4:30:00 PM,63.68,0.35%,5011978
95,AIMC,3908.50,0.60%,0.40%,0.90%,3.50%,2.30,1.40,0.54,0.55,35.00%,4.90%,0.90%,11/3/2022 8:30:00 AM,60.08,0.10%,803063
96,AIN,3183.97,0.96%,6.70%,12.60%,11.00%,4.30,3.60,0.55,0.55,38.60%,13.50%,10.60%,10/24/2022 4:30:00 PM,107.99,3.55%,117163
97,AIO,583.80,10.59%,,,,,,,,,,,,17.16,0.94%,92348
98,AIR,1621.88,,5.70%,8.80%,6.90%,3.30,1.40,0.19,0.19,18.30%,6.80%,4.90%,12/20/2022 4:30:00 PM,49.47,2.21%,232769
99,AIRC,5237.78,4.98%,14.60%,46.80%,-0.80%,,,1.81,1.81,65.40%,-3.40%,,11/3/2022 4:30:00 PM,36.55,1.08%,553732
100,AIT,4650.38,1.10%,11.80%,25.10%,15.50%,3.10,2.00,0.53,0.53,29.10%,9.80%,7.10%,10/27/2022 8:30:00 AM,124.70,0.56%,130129
101,AIV,1117.57,,11.50%,44.60%,-0.10%,,,1.35,1.35,62.80%,-42.30%,,11/7/2022 4:30:00 PM,7.71,1.05%,651414
102,AIZ,6561.16,2.21%,1.00%,7.00%,9.50%,,,0.52,0.52,,5.20%,3.30%,11/1/2022 4:30:00 PM,126.00,-0.47%,607252
103,AJG,40074.03,1.04%,2.80%,12.50%,8.00%,1.10,1.10,0.65,0.73,42.80%,18.50%,12.80%,1/26/2023 4:30:00 PM,194.99,-0.39%,678859
104,AJRD,4512.10,,4.00%,17.50%,19.60%,1.20,1.20,0.56,0.58,15.40%,7.70%,4.40%,11/1/2022 8:30:00 AM,55.93,0.30%,392864
105,AKAM,13752.26,,6.20%,11.70%,11.10%,2.30,2.30,0.54,0.00,62.40%,19.60%,14.10%,11/8/2022 4:30:00 PM,88.64,-0.10%,1080772
106,AKR,1381.58,4.92%,-0.50%,-1.40%,1.50%,,,1.07,1.07,69.10%,28.60%,-7.20%,11/1/2022 4:30:00 PM,15.44,5.46%,902096
107,AKRO,2179.49,,-52.20%,-60.10%,,15.00,15.00,0.03,0.03,,,,,49.62,6.28%,824172
108,AKYA,364.38,,-37.40%,-70.20%,-23.80%,3.50,3.10,0.71,0.72,59.60%,-93.40%,-99.10%,11/7/2022 4:30:00 PM,10.64,1.24%,72537
109,AL,4653.82,1.89%,-0.50%,-2.00%,4.00%,,,2.88,2.88,,17.20%,-5.70%,11/3/2022 4:30:00 PM,43.39,2.33%,646394
110,ALB,27334.51,0.67%,12.70%,25.60%,9.50%,1.70,1.10,0.46,0.50,41.40%,28.70%,27.80%,11/2/2022 4:30:00 PM,243.21,2.81%,1461826
111,ALBO,919.93,,-47.10%,-97.60%,,6.30,6.20,0.00,0.00,95.60%,,,11/8/2022 4:30:00 PM,43.94,-0.36%,791556
112,ALBT,424.38,,-110.00%,-519.80%,-140.20%,1.30,1.30,1.00,1.00,26.30%,,,,3.41,-9.79%,119546
113,ALCC,638.16,,0.10%,0.10%,,3.40,3.40,0.00,0.00,,,,,10.02,0.30%,3026
114,ALDX,372.73,,-30.70%,-35.40%,,7.80,7.80,0.02,0.10,,,,11/10/2022 8:30:00 AM,6.77,7.29%,238930
115,ALE,3707.19,3.94%,3.00%,7.80%,4.10%,1.00,0.40,0.62,0.73,92.40%,9.70%,12.90%,11/9/2022 8:30:00 AM,66.00,-0.11%,222446
116,ALEC,743.84,,-15.60%,-49.20%,-12.40%,4.80,4.80,0.00,0.00,,,,11/8/2022 4:30:00 PM,8.70,2.72%,419704
117,ALEX,1371.86,4.52%,1.40%,2.40%,3.00%,4.00,2.30,0.42,0.42,31.60%,12.10%,6.60%,11/3/2022 4:30:00 PM,19.81,1.75%,161255
118,ALG,1731.95,0.57%,7.10%,12.70%,9.00%,3.90,2.00,0.47,0.49,24.70%,9.10%,6.30%,11/3/2022 4:30:00 PM,154.84,1.02%,55531
119,ALGM,6000.00,,13.10%,15.90%,15.20%,4.80,4.00,0.03,0.03,54.70%,16.70%,14.20%,10/27/2022 8:30:00 AM,33.54,2.54%,1207468
120,ALGN,18212.97,,8.70%,14.00%,21.50%,1.40,1.20,0.00,0.00,71.40%,19.40%,13.20%,2/1/2023 4:30:00 PM,235.58,0.61%,1007288
121,ALGT,1423.80,,-0.90%,-3.20%,7.40%,1.30,1.30,1.55,1.68,58.70%,1.60%,-1.80%,11/2/2022 4:30:00 PM,81.10,2.98%,280923
122,ALHC,2245.03,,-20.60%,-48.20%,-39.00%,2.00,2.00,0.59,0.59,13.70%,-8.90%,-10.20%,11/3/2022 4:30:00 PM,11.51,0.09%,514766
123,ALIT,4085.23,,0.70%,1.80%,2.10%,1.20,1.20,0.65,0.66,31.00%,-1.10%,2.50%,11/3/2022 8:30:00 AM,8.93,-0.22%,1183016
124,ALK,5893.81,,0.40%,1.40%,8.20%,0.80,0.80,0.49,0.58,51.50%,0.90%,0.60%,1/26/2023 8:30:00 AM,49.40,3.56%,1591100
125,ALKT,1367.53,,-14.50%,-19.90%,-11.70%,6.40,6.40,0.25,0.26,53.80%,-34.20%,-35.10%,11/3/2022 4:30:00 PM,14.68,-0.34%,97442
126,ALL,36133.32,2.46%,-0.30%,-1.60%,16.50%,,,0.51,0.51,,-0.10%,-0.60%,11/2/2022 4:30:00 PM,137.07,-0.84%,1365565
127,ALLK,674.45,,-92.50%,-116.70%,,12.30,12.30,0.00,0.00,,,,,7.72,3.62%,1060608
128,ALLO,901.21,,-32.60%,-37.70%,-27.90%,11.60,11.60,0.00,0.00,,,,11/2/2022 4:30:00 PM,7.00,6.87%,2484339
129,ALLY,7832.71,4.41%,1.10%,15.90%,18.00%,,,1.32,2.36,,67.20%,20.10%,1/20/2023 8:30:00 AM,27.04,-0.70%,7255955
130,ALNY,27792.15,,-33.90%,-430.70%,-56.10%,3.50,3.30,,,83.80%,-90.30%,,10/27/2022 8:30:00 AM,229.84,2.05%,471190
131,ALPN,349.77,,-21.70%,-41.80%,-38.60%,3.70,3.70,0.00,0.02,,,,11/14/2022 4:30:00 PM,8.64,7.33%,72628
132,ALRM,2490.76,,3.80%,8.10%,6.40%,5.80,5.10,0.82,0.82,58.40%,5.70%,5.70%,11/8/2022 4:30:00 PM,52.88,1.67%,165412
133,ALRS,452.59,3.07%,1.20%,12.30%,17.70%,,,0.17,0.17,,93.40%,39.70%,1/25/2023 4:30:00 PM,23.55,0.43%,24155
134,ALSN,3943.68,1.94%,11.20%,72.00%,17.10%,1.70,1.30,3.28,3.29,46.90%,28.50%,18.80%,10/26/2022 4:30:00 PM,43.20,0.02%,599244
135,ALT,768.07,,-40.50%,-44.40%,-48.70%,13.40,13.40,0.00,0.00,,,,11/10/2022 8:30:00 AM,16.83,8.09%,1296442
136,ALTG,482.36,1.47%,0.60%,4.60%,0.40%,1.40,0.60,3.42,4.93,26.50%,2.60%,0.40%,11/9/2022 4:30:00 PM,15.61,0.39%,110550
137,ALTI,363.20,,5.30%,5.70%,,1.00,1.00,0.00,0.00,,,,,10.26,2.60%,90783
138,ALTR,3853.08,,-5.00%,-9.80%,0.50%,2.30,2.30,0.57,0.57,78.00%,-1.20%,-10.30%,11/3/2022 4:30:00 PM,49.85,0.71%,194207
139,ALVR,498.54,,-74.60%,-91.00%,,13.10,13.10,0.00,0.00,,,,11/4/2022 8:30:00 AM,5.87,11.17%,281622
140,ALX,1177.45,7.83%,8.70%,48.60%,,,,4.39,4.39,53.20%,38.40%,60.40%,10/31/2022 8:30:00 AM,229.98,0.00%,9143
141,ALXO,387.94,,-34.40%,-37.00%,,11.50,11.50,0.00,0.00,,,,11/8/2022 4:30:00 PM,9.18,3.03%,375106
142,AM,5227.67,8.03%,5.80%,14.30%,7.70%,0.80,0.80,1.42,1.42,,58.40%,35.90%,10/26/2022 4:30:00 PM,11.39,1.61%,3260034
143,AMAL,681.11,1.75%,0.70%,10.20%,24.20%,,,0.17,0.17,,76.70%,24.00%,10/27/2022 8:30:00 AM,23.20,1.71%,134472
144,AMAT,87247.86,0.94%,25.20%,54.70%,38.00%,2.20,1.40,0.45,0.45,46.50%,30.20%,25.30%,11/17/2022 4:30:00 PM,110.20,0.13%,5328914
145,AMBA,3139.59,,-9.40%,-11.10%,-5.00%,3.70,3.10,0.00,0.00,62.90%,-18.30%,-18.40%,12/1/2022 4:30:00 PM,85.37,-1.29%,663148
146,AMBC,742.58,,3.00%,35.00%,2.30%,,,4.91,4.91,,,,11/8/2022 4:30:00 PM,16.81,0.24%,265714
147,AMC,2615.37,,-8.20%,37.00%,-22.80%,0.60,,,,67.80%,-10.50%,-20.00%,11/8/2022 4:30:00 PM,5.02,2.03%,41585486
148,AMCX,757.26,,5.00%,30.90%,10.00%,1.80,1.80,2.80,2.84,54.80%,18.50%,9.90%,11/4/2022 8:30:00 AM,17.87,1.19%,337702
149,AMD,108511.90,,4.20%,5.30%,40.10%,2.20,1.70,0.05,0.05,46.50%,11.60%,10.00%,11/1/2022 4:30:00 PM,70.80,2.52%,70005008
150,AME,32049.24,0.60%,9.50%,16.30%,11.40%,1.50,0.90,0.29,0.33,34.90%,24.30%,18.80%,11/1/2022 8:30:00 AM,145.55,0.05%,545287
151,AMED,2622.35,,6.20%,12.40%,15.50%,1.10,1.10,0.44,0.45,44.50%,8.20%,5.40%,10/26/2022 4:30:00 PM,83.60,2.59%,446737
152,AMEH,1854.81,,7.20%,13.60%,11.70%,2.80,2.80,0.39,0.40,17.40%,6.30%,6.30%,11/3/2022 4:30:00 PM,35.24,5.83%,311739
153,AMG,6263.31,0.02%,6.40%,19.90%,12.20%,,,0.92,0.92,,36.50%,22.00%,11/7/2022 8:30:00 AM,169.70,-0.21%,292532
154,AMGN,141206.36,3.12%,11.20%,199.70%,17.10%,1.70,1.30,10.17,10.60,75.80%,36.90%,26.00%,11/3/2022 4:30:00 PM,270.92,-0.73%,1454108
155,AMH,10983.11,2.22%,1.80%,3.30%,1.60%,,,0.68,0.68,55.40%,11.50%,14.60%,11/3/2022 4:30:00 PM,32.88,1.23%,1438364
156,AMK,1736.37,,6.30%,8.60%,2.60%,3.70,3.70,0.10,0.11,72.90%,21.00%,15.10%,11/1/2022 4:30:00 PM,24.72,0.98%,129359
157,AMKR,6863.97,1.01%,12.90%,25.70%,16.90%,1.80,1.40,0.29,0.34,19.70%,13.40%,11.80%,10/31/2022 4:30:00 PM,30.06,1.21%,893815
158,AMLX,2319.68,,-93.60%,-172.50%,54.70%,5.30,5.30,0.00,0.00,50.10%,,,11/10/2022 4:30:00 PM,37.00,1.62%,585473
159,AMN,4691.33,,15.40%,43.40%,18.00%,1.40,1.40,0.74,0.00,32.40%,12.70%,8.70%,11/3/2022 4:30:00 PM,104.16,-6.06%,959602
160,AMNB,379.86,3.30%,1.20%,11.30%,21.30%,,,0.09,0.09,,97.10%,40.40%,10/20/2022 8:30:00 AM,36.97,1.71%,10988
161,AMOT,601.55,0.25%,2.90%,7.80%,7.80%,2.60,1.30,1.15,1.15,30.80%,5.90%,3.30%,11/2/2022 4:30:00 PM,39.75,0.18%,62629
162,AMP,33748.08,1.52%,1.70%,60.60%,9.50%,,,1.60,10.30,53.60%,25.00%,19.20%,10/25/2022 4:30:00 PM,331.17,0.36%,743409
163,AMPH,1328.97,,10.90%,16.00%,12.00%,3.80,2.70,0.15,0.15,48.20%,18.30%,15.90%,11/7/2022 4:30:00 PM,28.31,0.35%,223444
164,AMPL,1439.01,,-21.90%,-30.30%,-24.50%,2.50,2.50,0.00,0.00,70.00%,-41.50%,-41.10%,11/2/2022 4:30:00 PM,12.48,-0.72%,799199
165,AMPS,1300.05,,4.20%,13.40%,3.60%,9.70,9.70,1.54,1.59,82.40%,17.20%,49.30%,11/14/2022 8:30:00 AM,8.33,2.84%,1256171
166,AMPX,493.41,,,,-71.10%,1.20,1.20,0.00,0.00,,,,11/10/2022 4:30:00 PM,5.82,-0.68%,117845
167,AMPY,328.15,,-4.50%,27.90%,-12.20%,0.70,0.70,,,71.80%,-2.00%,-4.60%,11/1/2022 4:30:00 PM,8.77,1.50%,386733
168,AMR,2168.29,1.14%,70.30%,142.50%,35.50%,3.40,2.80,0.00,0.00,45.60%,39.90%,36.20%,11/7/2022 8:30:00 AM,151.42,3.56%,224503
169,AMRC,2936.15,,3.90%,14.00%,8.40%,1.30,1.30,0.64,1.02,15.70%,7.50%,5.50%,11/1/2022 4:30:00 PM,60.07,1.76%,253731
